A,B,C,D,E
43,80,27,86,3
76,14,32,75,5
83,36,62,23,51
59,95,10,8,47
18,95,45,77,19
28,5,98,0,6
44,78,9,91,83
97,21,95,33,61
90,25,30,63,45
58,7,15,60,43
36,98,3,52,24
30,42,47,59,13
79,34,42,60,83
46,48,52,7,60
62,82,6,44,73
33,6,93,63,71
93,78,84,66,16
9,21,88,52,41
87,74,55,33,6
47,42,39,27,59
43,99,5,88,26
41,49,93,83,10
75,35,28,55,86
21,1,7,13,39
39,25,86,88,87
36,57,68,91,28
97,2,66,4,50
63,100,11,23,3
48,57,87,57,50
68,38,37,31,32
4,24,76,18,4
69,18,66,34,45
8,6,82,39,78
47,87,68,64,85
69,60,28,40,11
33,22,78,93,55
13,62,4,71,10
89,38,51,15,82
23,38,46,32,39
98,11,8,17,32
2,10,67,29,29
56,47,82,76,45
3,25,26,61,22
97,12,83,1,20
54,53,6,24,12
96,8,36,87,30
44,71,68,2,48
22,24,56,22,18
90,55,30,71,39
18,57,32,71,43
47,47,50,25,98
3,82,17,69,23
83,68,0,74,38
35,38,94,34,74
44,21,92,50,36
42,24,61,19,92
88,70,39,74,68
61,45,88,16,13
83,96,64,74,36
4,17,34,4,7
85,71,31,50,21
55,83,100,83,12
73,72,3,68,76
90,13,71,23,70
66,21,29,95,10
32,95,22,28,73
27,79,23,62,59
14,90,39,74,63
42,38,4,11,22
78,86,26,9,86
70,99,29,91,62
6,66,16,25,100
89,49,6,8,98
64,61,41,1,9
64,80,92,40,60
50,29,34,88,40
9,76,21,66,42
74,11,92,61,62
49,11,97,42,3
69,17,21,73,31
99,61,0,39,10
18,24,43,78,2
25,9,22,14,24
11,11,63,15,60
31,65,87,55,60
4,60,75,62,46
27,68,86,73,0
41,57,21,96,96
43,53,92,63,0
76,76,34,63,16
48,4,0,97,100
39,37,5,79,63
55,71,8,12,82
93,31,94,47,2
63,82,24,21,15
26,97,5,61,8
61,9,1,27,79
9,98,92,43,69
18,16,48,18,99
30,47,99,39,25
4,13,70,9,31
94,14,94,96,92
33,57,59,3,71
78,91,26,55,61
47,8,27,37,76
3,90,47,67,38
84,96,2,58,98
74,84,87,13,55
32,45,20,53,2
71,81,51,71,87
92,42,92,66,66
52,46,83,42,25
94,21,11,82,35
83,65,92,24,29
70,75,48,27,74
57,3,97,28,47
70,18,66,48,87
99,13,48,40,2
99,91,63,35,42
62,5,75,76,49
54,16,12,28,45
61,48,97,32,31
27,7,25,81,38
60,94,25,3,20
3,56,62,89,81
90,36,57,100,99
42,27,70,8,48
88,63,29,19,73
95,1,97,78,94
20,24,6,18,96
74,85,96,56,28
17,79,85,48,10
0,49,85,39,1
71,22,28,41,62
56,5,73,87,82
26,1,12,67,36
17,47,92,19,77
100,89,51,100,56
76,74,87,40,33
50,8,45,67,42
81,60,44,9,90
62,43,36,26,76
86,6,60,28,80
85,39,68,74,58
55,82,62,18,51
89,2,66,44,86
29,4,25,76,67
12,46,17,12,34
8,86,66,61,23
29,1,97,100,29
73,13,60,46,83
19,84,54,40,26
61,52,35,73,3
53,78,77,48,38
37,90,37,23,23
64,34,78,69,40
85,50,65,91,5
97,4,69,70,38
27,10,80,52,92
31,1,91,1,65
33,96,13,0,64
7,67,66,91,3
99,79,14,71,95
29,82,76,37,6
32,8,30,80,84
2,65,60,86,8
70,39,88,13,97
78,63,7,35,26
61,46,87,44,87
41,63,81,60,87
68,25,66,60,70
5,76,22,7,28
39,11,91,16,45
93,53,54,36,26
17,11,86,18,83
69,78,32,80,29
18,77,85,59,68
33,13,42,14,40
64,80,43,32,98
50,82,59,69,91
17,94,14,36,33
48,13,21,69,49
48,80,84,90,82
63,24,33,62,86
76,95,72,84,48
47,56,45,36,71
23,29,33,50,24
56,95,4,26,26
92,73,43,11,63
79,91,15,5,60
16,46,95,45,44
52,42,76,91,10
52,71,78,27,24
78,35,84,36,27
94,9,74,25,97
63,81,27,28,66
66,49,1,50,48
72,59,100,90,68
35,42,9,33,67
56,14,1,40,58
64,61,65,87,63
84,86,13,5,81
90,42,42,96,91
3,28,20,87,1
97,16,93,28,78
79,76,52,45,25
48,45,15,44,17
85,21,10,46,76
13,27,26,14,46
86,43,84,63,14
55,26,47,43,82
56,7,41,85,36
51,98,34,51,92
58,17,94,3,66
33,28,6,39,97
25,44,39,34,74
21,9,47,21,74
10,84,46,75,40
8,33,77,3,22
95,0,23,79,77
18,74,70,93,42
2,88,95,17,4
39,92,39,47,17
75,54,34,46,40
68,15,99,44,53
82,29,96,21,26
39,54,86,30,29
67,35,100,15,78
88,96,33,6,12
85,82,89,45,59
31,17,23,92,91
87,69,37,55,35
36,12,64,0,11
5,95,55,95,96
19,52,51,32,100
72,41,64,65,75
4,49,49,83,13
51,81,80,66,36
2,87,33,95,67
85,38,81,73,94
73,86,35,78,23
28,60,95,26,56
97,10,18,53,38
78,14,25,62,37
2,86,1,37,3
53,84,0,14,27
57,10,98,28,8
61,81,52,28,38
87,34,7,43,77
38,59,67,82,8
10,68,56,1,65
34,37,50,73,88
9,11,31,36,84
75,20,69,49,70
71,99,45,45,56
9,49,3,6,51
60,74,22,3,51
91,43,11,93,85
34,18,9,50,52
75,96,71,45,49
2,51,88,10,26
57,38,91,62,69
98,8,77,77,4
62,53,38,25,42
42,12,61,71,94
79,62,66,9,91
39,36,43,9,78
25,96,52,58,62
17,11,78,67,11
38,0,56,78,9
84,9,22,88,45
54,61,55,22,47
48,27,48,24,45
23,12,78,91,97
27,86,42,66,80
34,72,68,78,20
53,18,68,88,93
59,78,33,5,18
48,57,26,64,21
63,49,97,61,56
19,90,84,89,2
49,4,13,42,47
64,100,69,69,7
8,82,36,22,69
43,9,70,97,64
24,88,28,64,55
79,21,53,20,88
88,24,71,37,54
10,52,20,49,69
29,58,48,96,45
94,60,61,63,50
58,44,9,47,69
95,34,99,1,51
37,48,57,53,35
73,56,75,15,27
44,46,11,56,43
95,73,24,19,94
58,50,17,8,8
47,64,20,78,11
83,78,49,0,32
60,43,54,96,19
12,24,57,97,31
43,18,93,0,1
6,58,3,83,20
42,13,31,67,99
54,9,23,10,80
49,92,77,90,21
32,51,26,36,64
76,49,46,14,77
79,43,60,48,70
35,93,10,73,63
88,6,79,64,75
10,58,27,35,14
46,100,10,86,6
35,29,52,87,35
68,56,100,2,80
21,46,61,72,18
91,8,24,90,45
99,37,53,99,42
14,75,10,14,64
4,64,79,50,10
2,44,21,29,74
40,88,19,18,34
20,99,91,94,0
61,13,84,51,53
66,36,88,39,68
96,6,35,83,99
11,26,45,21,65
32,26,53,16,86
22,51,36,41,30
67,20,6,20,12
41,48,99,69,50
47,0,5,97,7
76,73,54,98,46
33,83,57,82,0
56,61,32,1,27
19,4,39,70,7
71,32,31,4,77
60,4,85,0,56
86,76,56,58,80
14,34,88,68,68
57,84,72,90,42
15,95,30,3,58
63,11,11,57,11
53,82,51,25,62
21,37,31,57,17
83,48,60,75,80
93,60,42,55,71
94,20,8,34,50
57,97,8,70,12
1,51,43,73,35
25,97,18,5,98
86,46,83,49,1
21,96,21,34,72
91,88,75,84,37
76,38,82,82,2
89,51,57,54,61
38,88,66,43,71
70,9,33,8,73
41,0,57,86,67
66,81,25,85,8
48,53,39,54,16
84,73,62,50,7
97,87,52,80,49
76,55,59,45,50
13,27,75,25,35
55,22,0,31,65
33,99,77,19,40
27,76,63,5,2
4,60,41,80,72
54,91,1,28,15
81,20,85,32,79
53,30,61,18,56
99,62,99,96,69
49,88,56,13,56
4,33,65,58,54
60,26,85,17,21
75,18,33,32,9
57,25,31,9,61
2,83,41,11,36
21,42,80,64,87
13,36,32,87,76
70,68,68,15,41
44,37,79,11,1
8,51,72,84,26
38,86,42,17,56
74,16,81,98,94
67,30,38,54,50
30,66,35,73,66
24,25,18,20,51
10,65,2,94,89
56,52,43,22,31
85,18,28,83,23
40,99,45,78,82
45,3,13,24,95
44,66,24,31,69
22,78,79,59,41
16,8,72,16,14
76,91,74,16,100
50,94,81,4,6
50,18,75,42,47
23,9,67,57,65
52,85,55,19,1
7,49,61,33,33
27,4,49,43,78
87,94,50,71,38
54,10,4,98,7
55,15,67,38,28
67,37,81,88,28
90,40,93,9,80
26,66,94,88,12
18,38,92,65,39
94,3,44,59,9
75,83,53,75,96
36,7,56,5,99
51,35,89,6,67
33,42,30,47,68
33,73,50,35,54
2,4,51,10,60
54,57,50,10,48
7,1,69,18,11
84,61,18,82,94
32,94,93,60,94
41,54,6,59,37
67,0,82,21,77
94,29,74,47,42
27,25,39,52,89
99,97,82,35,64
10,90,81,8,15
97,10,79,81,3
84,82,24,7,46
26,90,81,31,68
70,99,16,13,47
53,59,63,91,60
2,15,22,16,94
58,2,5,85,77
5,70,81,30,66
81,46,73,10,65
18,6,58,90,51
40,61,75,80,29
79,61,60,6,10
29,51,36,41,56
95,73,47,89,95
11,62,88,62,65
92,44,30,52,16
49,98,87,75,91
35,28,58,62,1
80,88,99,40,82
81,75,67,29,29
42,68,10,52,92
34,10,97,33,91
72,56,38,72,41
26,39,75,100,91
34,74,15,90,16
19,29,99,61,22
39,48,97,97,20
91,19,15,16,45
44,30,52,90,92
22,2,92,29,22
99,96,4,11,31
37,77,84,53,77
5,100,51,93,89
6,88,10,63,78
37,91,10,78,10
12,84,54,36,77
49,73,73,62,16
40,96,29,35,49
94,89,74,13,29
59,40,96,44,67
79,10,63,16,29
75,43,62,9,96
69,54,13,24,65
46,49,95,69,77
81,6,35,57,64
3,86,60,53,19
34,13,10,44,96
29,33,81,77,87
24,87,68,76,57
75,12,54,19,65
68,30,0,66,18
48,22,2,76,51
51,24,0,70,45
87,78,46,33,89
15,39,42,3,65
99,74,32,54,28
21,66,74,79,20
19,37,3,42,73
11,96,12,25,42
56,84,5,33,82
30,74,25,3,50
99,42,7,54,66
84,37,81,43,97
66,38,15,59,26
82,78,49,100,79
39,73,37,54,85
3,24,53,31,44
25,93,58,5,79
13,92,14,21,44
86,0,2,47,40
85,42,24,39,11
60,91,74,65,23
65,70,42,8,93
30,33,70,97,14
47,94,81,84,78
84,7,13,84,28
34,55,74,33,72
50,58,10,8,100
77,72,10,99,20
93,37,3,40,38
96,68,25,87,15
14,54,79,3,0
2,74,69,80,29
43,90,46,76,40
49,57,13,22,74
82,71,19,22,34
62,7,91,52,55
51,63,55,12,73
12,15,63,2,44
22,77,35,43,9
51,73,72,6,27
21,46,26,21,13
29,56,47,31,59
27,52,96,97,20
88,36,37,85,81
89,14,23,76,91
52,67,98,75,88
80,91,82,76,35
40,97,3,22,22
51,68,45,86,6
80,37,78,91,55
26,98,12,84,17
42,88,13,81,100
18,67,52,46,77
70,23,46,45,12
54,95,62,98,49
13,95,100,51,57
55,20,15,79,25
84,77,22,85,77
100,39,76,82,56
87,67,47,95,10
23,79,7,65,94
79,12,31,50,99
92,41,65,22,44
69,91,63,59,91
14,9,66,31,12
83,57,68,75,67
16,34,53,79,41
82,32,82,85,30
69,57,88,59,80
7,87,25,7,73
35,35,43,74,94
93,12,60,17,29
5,48,36,4,50
69,82,99,1,56
84,46,47,51,47
45,12,47,39,39
84,82,53,5,92
76,71,83,44,36
95,15,82,77,88
75,8,15,67,25
9,66,20,48,42
25,45,84,52,57
52,92,33,55,72
28,10,34,81,8
21,16,15,90,96
50,76,73,68,68
94,62,41,45,97
0,24,76,32,83
68,97,27,95,83
76,80,42,92,83
21,1,31,82,98
31,53,24,76,85
23,27,32,94,10
86,92,63,65,11
70,98,6,85,32
46,14,16,86,45
4,52,80,74,22
39,7,87,97,98
8,76,75,76,88
11,83,58,10,19
29,50,37,53,89
75,82,86,68,22
42,70,14,74,49
45,73,91,34,0
2,83,50,77,95
35,100,64,60,31
47,11,1,37,4
56,45,77,9,91
45,52,64,58,43
79,56,40,69,53
29,63,64,36,92
83,75,12,24,79
93,65,18,13,69
62,31,33,52,76
47,87,95,45,17
45,40,39,6,32
87,69,24,97,10
69,7,97,7,64
98,35,74,0,27
11,70,44,85,58
33,22,86,95,72
48,58,32,52,44
89,34,87,59,80
81,26,0,64,63
32,89,19,49,89
42,44,94,45,64
31,57,88,50,10
31,4,39,43,17
71,24,49,1,56
20,76,11,31,22
18,91,93,14,48
52,10,56,34,43
90,59,99,25,77
62,23,53,50,21
45,74,17,51,76
79,16,93,17,86
34,69,10,27,13
85,64,48,17,71
88,78,2,58,18
16,64,78,21,7
60,72,9,46,74
32,79,59,43,2
36,0,26,17,51
60,86,6,64,60
82,19,94,26,72
42,66,53,28,60
35,75,68,90,30
58,71,1,32,73
23,95,26,23,50
26,61,24,22,86
8,98,76,41,19
20,7,16,18,75
92,66,88,1,58
47,37,86,92,4
39,14,61,64,63
6,6,44,45,88
17,44,61,28,18
37,59,7,29,72
6,33,84,41,9
41,60,4,67,5
52,25,4,29,96
16,6,45,14,81
16,11,0,36,4
46,94,8,46,27
59,68,80,27,85
71,54,88,93,13
18,30,94,70,22
1,13,55,72,45
11,72,30,5,33
39,11,89,53,14
51,29,80,64,84
57,46,91,58,41
71,43,10,74,26
4,53,62,34,3
17,15,97,18,6
85,45,14,48,55
50,48,100,31,33
59,8,39,15,0
62,7,81,26,15
18,7,10,38,28
14,89,52,90,29
20,40,18,78,59
29,67,55,12,34
55,40,30,31,58
42,33,87,30,71
64,63,74,38,40
17,86,13,31,44
40,56,35,54,11
91,20,0,14,69
83,77,4,75,31
77,26,66,76,53
40,95,37,24,64
2,36,97,30,50
22,24,31,14,56
78,38,2,100,23
71,27,71,60,67
40,5,12,86,4
82,53,78,15,40
24,47,68,85,41
27,74,39,25,74
19,12,79,18,34
97,3,97,94,70
64,78,58,98,75
47,93,3,95,95
5,30,26,46,43
14,49,0,30,51
38,1,73,37,14
38,69,96,6,95
17,30,78,99,40
86,91,49,67,73
44,79,58,100,70
35,59,19,48,19
6,17,94,57,0
35,74,13,69,47
77,5,84,27,2
2,1,9,31,63
91,19,33,95,4
65,2,99,19,58
57,68,14,67,61
73,83,10,19,69
10,64,0,58,78
89,54,96,80,71
59,40,86,21,7
45,31,31,90,5
49,12,25,87,11
94,51,56,90,92
77,47,89,5,59
71,41,15,52,7
94,60,7,100,94
88,57,83,23,27
22,41,63,79,51
44,67,73,27,0
23,15,0,74,54
59,55,76,10,62
72,29,17,25,74
41,61,39,31,85
64,49,84,64,22
28,85,59,8,59
73,12,28,45,17
13,42,43,87,93
49,75,27,24,19
1,94,77,53,55
30,83,6,65,42
4,28,83,16,25
9,10,33,95,3
97,61,58,35,54
100,17,85,40,65
35,22,29,36,5
38,77,61,65,7
7,96,6,90,3
50,66,98,72,42
31,69,47,15,47
78,15,45,23,88
3,67,49,53,7
20,58,38,58,46
17,64,32,84,34
44,19,100,47,79
13,3,50,62,3
89,66,81,6,89
35,61,7,87,44
33,57,57,55,80
76,25,18,56,97
71,66,100,16,74
11,3,66,18,84
96,46,94,4,52
45,94,55,90,56
99,44,71,1,46
14,47,53,5,59
17,27,49,58,22
81,94,94,16,78
6,19,0,14,95
56,6,52,41,58
73,47,70,20,31
76,76,97,25,80
23,45,23,49,75
2,4,14,15,97
41,9,75,36,63
17,63,1,44,72
35,79,19,68,86
46,59,2,20,22
88,78,83,99,22
74,10,53,41,14
44,69,10,35,30
88,3,39,70,98
80,72,24,84,64
24,69,68,8,15
56,27,53,23,15
30,6,13,34,28
9,49,82,9,9
100,39,73,60,16
20,20,53,39,70
61,3,17,39,74
29,80,4,67,84
75,22,96,17,85
32,31,5,45,5
89,38,27,82,83
48,31,74,93,20
75,45,32,40,99
46,86,54,24,62
57,93,94,56,99
87,9,16,11,27
79,43,1,54,48
76,66,50,87,97
53,9,80,61,88
41,67,35,60,46
94,88,81,4,42
89,62,95,83,82
67,37,28,17,58
94,22,31,85,19
96,81,95,43,30
51,53,12,91,54
66,85,69,100,20
71,78,14,41,28
66,59,38,79,76
55,86,74,47,46
35,9,10,12,26
79,35,58,50,66
82,82,20,15,50
62,14,82,41,1
80,35,67,22,27
63,78,21,31,85
80,97,35,22,88
88,21,5,8,56
58,2,45,66,23
94,32,29,55,53
15,98,38,4,13
90,50,43,38,38
99,33,39,63,96
32,40,72,91,99
33,77,44,45,9
56,55,41,41,75
96,92,61,57,96
92,15,97,94,7
35,85,27,95,37
18,76,30,73,87
67,82,11,53,64
34,38,58,66,57
41,29,49,9,6
28,39,7,72,71
37,20,10,73,100
72,84,74,97,95
54,53,84,42,90
57,31,43,37,39
33,1,57,95,87
47,59,62,25,89
35,49,56,46,99
93,15,23,81,46
84,61,88,16,67
42,17,49,40,41
60,54,65,84,89
26,60,75,22,5
87,98,83,90,69
14,23,100,94,66
83,5,4,47,92
20,7,54,37,82
90,31,100,22,74
78,99,20,87,31
43,51,62,69,60
3,84,94,28,88
76,10,35,29,67
57,44,82,51,60
72,17,97,5,35
19,43,16,75,48
27,74,89,74,23
37,88,50,36,75
44,43,77,79,3
7,32,59,29,9
21,35,40,1,17
29,91,54,80,63
93,35,78,66,4
4,82,2,70,5
55,63,97,32,59
37,22,32,21,60
60,40,47,93,54
1,23,28,94,30
20,12,92,93,56
72,8,54,98,14
13,12,47,40,50
72,8,11,54,19
29,10,43,15,91
73,70,14,85,31
45,16,42,34,43
97,41,60,61,1
35,41,88,8,80
60,31,7,19,71
74,94,76,2,35
91,1,58,63,30
31,42,32,98,43
0,71,43,74,20
94,81,10,72,7
42,18,37,73,48
95,51,64,42,40
35,82,75,58,63
98,19,50,82,5
73,68,97,1,4
50,83,0,72,13
79,50,71,38,3
65,26,98,52,97
10,66,15,28,30
81,63,53,47,43
79,53,52,92,57
50,91,60,61,87
36,27,82,53,20
70,42,7,31,70
50,35,89,26,45
82,100,14,71,27
79,33,19,83,8
83,50,23,15,7
17,3,1,0,83
57,100,87,60,93
91,86,37,55,12
90,64,21,51,48
6,62,62,9,9
60,87,4,74,26
84,97,60,76,38
61,42,69,34,25
37,30,36,97,60
30,0,68,79,87
33,75,58,74,35
25,29,96,45,52
15,60,19,0,55
3,52,75,99,24
99,78,99,8,42
59,62,6,82,9
30,42,36,34,36
29,27,52,50,8
29,64,73,55,52
100,8,77,8,87
39,66,1,0,31
89,44,26,34,45
2,91,12,83,54
62,48,73,13,92
39,52,59,76,26
9,99,41,34,73
51,9,75,71,83
29,89,57,53,75
29,68,82,87,15
88,46,26,61,76
91,64,96,90,81
31,57,13,6,83
62,84,61,92,12
57,73,22,99,70
68,42,1,57,18
62,83,88,45,97
6,15,73,80,100
71,76,35,40,21
52,10,61,65,69
36,91,12,65,69
82,91,57,67,86
10,12,38,11,15
22,2,8,16,88
24,87,49,39,55
4,100,1,75,57
25,75,18,64,0
14,79,29,96,45
66,71,93,97,72
37,23,44,76,64
54,69,7,77,77
43,80,61,75,33
90,27,86,47,87
26,18,61,29,74
28,48,48,69,9
93,82,70,90,69
21,29,42,89,63
12,55,66,25,77
7,45,18,47,31
75,92,60,14,54
34,45,37,0,27
69,54,45,67,44
33,70,23,10,39
77,89,21,42,78
62,46,75,55,66
72,100,19,42,53
96,16,85,89,86
56,37,100,11,8
9,87,52,11,94
20,31,57,14,74
9,27,92,16,87
88,15,66,39,66
90,74,81,70,47
59,11,35,70,41
82,42,24,31,53
91,62,29,4,50
78,90,23,10,20
95,96,85,28,86
70,75,9,28,40
5,73,0,70,43
86,79,21,97,50
54,66,8,53,26
73,27,42,4,24
73,13,74,74,9
95,26,70,13,73
20,80,38,17,67
80,50,67,58,28
42,50,10,95,49
33,41,8,20,24
64,96,49,50,65
86,79,7,0,10
34,17,64,46,55
13,80,96,57,100
40,30,7,12,10
95,5,7,92,28
56,95,72,36,49
18,25,29,69,90
46,85,76,50,69
30,27,45,66,49
91,89,5,94,84
60,63,50,23,71
82,28,63,46,71
94,6,95,49,45
74,8,30,18,76
15,14,86,74,67
1,74,65,64,79
87,65,95,70,77
67,98,45,17,94
9,26,42,45,99
96,73,6,17,31
2,43,100,78,14
78,37,26,61,64
27,17,59,82,51
77,17,56,7,61
86,74,94,54,74
25,14,87,86,42
95,32,95,99,55
51,20,91,55,9
57,25,51,82,43
36,53,91,24,69
22,71,58,73,94
33,8,62,27,4
95,95,31,11,52
85,37,0,80,26
85,34,81,27,8
12,58,84,33,26
59,81,25,43,19
0,9,19,19,7
18,35,75,30,74
71,38,32,28,54
12,92,69,14,74
19,69,17,65,55
51,79,26,61,75
73,32,93,59,31
39,58,29,71,96
30,26,3,0,84
81,40,70,32,55
72,25,30,31,33
100,14,68,72,18
29,89,73,64,75
77,77,74,31,96
36,52,54,94,85
6,77,46,22,76
78,82,85,67,83
84,80,51,60,32
65,29,52,62,36
93,8,96,35,82
54,69,30,39,62
39,9,55,100,84
8,34,10,65,57
19,25,28,24,74
30,76,98,56,82
78,8,44,82,100
56,88,16,52,99
11,19,49,49,32
36,89,53,74,82
83,64,33,0,80
94,93,27,75,97
41,50,43,61,74
30,2,74,57,66
66,55,71,59,65
98,18,56,35,3
77,43,69,30,9
65,24,59,76,68
6,71,51,9,77
83,52,27,56,21
66,5,33,82,22
69,28,63,25,62
45,87,30,95,5
19,35,66,75,44
41,17,54,12,20
27,3,96,84,95
29,66,15,27,32
40,22,17,94,63
8,74,89,96,88
68,76,13,0,42
36,10,18,40,23
46,72,27,52,64
63,44,96,78,37
16,7,20,35,86
17,31,45,34,21
84,21,12,90,41
13,74,66,72,97
32,37,79,37,26
4,34,74,91,30
1,69,96,44,96
44,56,47,3,14
84,1,70,68,62
29,60,54,10,29
74,3,62,54,53
7,35,60,94,17
12,91,18,93,41
5,82,44,0,74
83,62,62,4,55
96,41,68,8,15
14,56,64,99,23
12,7,84,15,9
37,0,25,7,44
80,95,68,39,4
63,72,18,3,92
99,37,90,90,51
23,80,59,99,44
86,19,99,40,63
70,15,58,96,8
41,7,49,9,71
24,95,8,98,70
52,10,31,76,14
32,15,28,72,3
97,27,56,35,58
25,83,29,9,99
81,37,93,78,75
96,10,95,4,10
20,87,10,38,51
98,31,92,82,11
20,4,36,90,48
34,82,20,21,42
17,28,92,80,76
40,10,1,31,45
41,60,28,76,27
3,63,95,25,1
16,68,19,53,2
2,100,72,56,12
80,46,57,13,63
72,73,6,94,6
3,2,72,54,14
55,62,27,93,44
98,30,43,69,70
76,78,57,88,64
2,95,64,100,71
24,4,94,59,31
51,77,59,1,80
72,38,11,35,4
37,11,7,22,74
98,20,30,14,49
46,63,62,66,20
8,86,8,14,69
39,64,67,94,49
47,72,76,11,91
32,1,13,41,46
59,62,16,53,46
51,16,15,68,98
19,57,56,18,30
43,78,70,89,72
68,31,40,98,65
3,40,26,79,59
55,52,61,68,41
75,75,17,7,50
71,70,17,28,38
86,98,10,98,91
32,82,60,36,48
65,9,73,13,95
55,30,51,70,69
69,95,3,72,65
59,30,61,84,15
5,54,79,28,19
12,62,93,79,2
88,59,60,34,7
54,91,95,13,32
56,68,69,98,2
97,85,4,90,75
58,68,2,81,42
65,50,34,99,97
15,58,10,27,72
41,97,95,86,83
30,29,45,38,66
81,89,34,17,100
54,55,41,5,45
77,89,25,54,49
15,9,98,45,96
79,90,51,52,45
10,100,33,12,54
17,69,32,67,48
98,35,42,34,89
99,78,95,52,24
3,17,74,85,54
52,70,70,25,100
86,84,40,64,46
99,71,31,17,26
42,69,3,40,35
72,79,34,91,46
97,99,51,91,28
25,92,68,14,73
30,89,89,82,90
82,65,63,79,30
80,30,6,57,91
18,15,6,75,100
40,6,2,62,96
50,28,3,47,67
38,80,65,59,37
45,2,31,99,3
86,40,53,43,86
88,64,77,78,97
24,51,59,88,20
1,19,40,95,20
91,80,47,69,25
41,98,39,79,85
54,76,30,23,99
29,50,62,9,19
95,87,58,5,58
22,13,12,26,41
7,57,12,43,80
91,62,55,58,15
79,20,28,95,7
38,73,76,53,57
94,6,28,41,58
40,85,80,49,11
40,60,29,3,73
7,19,49,58,12
78,3,99,87,12
38,80,29,31,32
58,69,75,0,6
24,90,6,57,43
10,3,10,83,53
56,35,48,34,24
70,26,100,18,41
39,81,87,65,90
22,87,14,50,76
43,46,68,87,35
14,14,30,79,33
80,48,74,48,81
95,77,89,11,15
43,7,90,85,34
22,63,33,33,62
73,91,97,70,100
43,2,33,42,61
48,12,15,6,96
82,95,43,91,100
65,36,40,73,52
0,94,16,6,83
87,35,71,76,15
47,41,80,0,25
77,41,18,58,71
45,81,34,22,47
62,90,99,68,19
28,99,20,59,97
97,59,25,61,53
82,81,5,53,52
83,55,53,85,97
67,49,14,59,4
37,100,64,89,76
18,89,42,86,73
74,31,94,4,79
8,8,66,7,29
21,16,9,96,10
51,40,41,79,50
19,51,51,100,15
82,87,30,80,55
9,77,28,18,100
53,56,70,90,28
57,48,50,38,52
11,47,38,38,36
12,16,4,35,10
2,13,68,45,100
12,8,17,58,95
40,0,82,56,11
81,86,16,84,97
23,32,99,96,79
99,12,56,23,34
73,3,63,36,14
95,12,13,84,34
72,0,36,10,12
90,62,64,22,96
81,36,62,2,59
61,26,99,69,22
36,43,7,16,75
40,83,65,44,4
65,68,6,23,33
72,77,94,45,98
33,57,85,16,46
34,67,84,48,79
74,39,85,13,37
47,78,74,5,82
61,83,17,55,59
11,90,64,58,4
66,68,88,89,69
92,1,15,49,74
75,34,90,25,12
85,98,56,68,86
51,65,37,71,60
63,12,5,83,4
1,27,67,41,36
18,42,79,49,33
73,57,74,51,25
98,15,24,37,54
47,67,85,87,12
61,90,57,37,69
28,62,79,68,29
6,18,46,32,87
71,11,2,83,11
6,13,87,40,84
40,18,46,1,32
8,70,72,67,17
19,28,44,94,49
65,22,64,61,44
77,88,56,47,65
32,85,76,79,63
93,31,86,29,70
99,5,24,4,37
18,70,12,83,95
18,83,13,80,15
65,59,97,89,28
20,67,50,3,63
52,30,62,80,36
8,47,46,48,31
79,62,80,59,6
0,15,79,76,3
14,43,24,63,69
47,52,94,76,52
9,42,61,67,37
38,96,57,63,70
20,64,86,19,74
16,50,90,14,20
36,94,27,7,19
2,88,90,25,27
48,100,98,48,45
15,64,24,39,62
93,64,51,71,26
33,15,65,65,26
88,77,44,17,12
34,26,18,17,8
95,51,56,95,69
72,13,39,63,68
54,57,91,39,63
18,1,75,27,37
4,62,50,7,55
53,85,72,15,66
26,91,15,19,39
28,25,30,77,15
72,87,96,46,65
14,0,86,20,36
89,34,30,73,49
55,83,0,35,27
58,63,44,68,20
69,7,68,35,52
77,27,100,71,89
18,76,94,99,77
78,49,73,38,9
49,6,37,4,40
95,19,64,96,29
42,53,90,34,46
66,97,38,52,24
66,95,23,48,89
55,92,83,79,60
31,63,94,95,64
63,49,73,71,75
48,17,36,9,36
40,4,72,69,60
80,89,80,39,49
95,62,18,25,0
78,39,93,88,84
68,84,64,18,42
65,25,83,2,57
21,80,29,25,94
3,40,25,13,3
30,27,4,47,55
95,95,7,93,0
97,75,17,7,97
88,58,42,10,45
40,29,36,14,83
10,99,23,40,71
57,48,48,78,92
15,8,97,36,67
75,47,19,5,90
92,19,49,40,43
60,98,81,44,8
18,32,60,28,27
40,30,38,93,57
60,98,97,60,24
92,79,77,12,81
42,7,77,10,95
43,20,98,34,29
18,23,48,0,91
86,60,30,4,65
46,35,60,64,99
66,68,71,43,100
68,80,11,34,53
58,60,19,5,89
54,52,22,51,39
37,42,65,6,47
20,14,78,36,51
79,20,57,37,2
28,4,19,81,48
45,72,5,59,7
75,5,55,57,49
27,37,9,25,28
23,92,9,90,10
89,68,46,12,70
52,72,40,48,78
76,30,14,86,29
22,47,61,27,58
47,22,8,92,28
5,86,76,2,0
13,60,33,55,35
55,73,68,43,33
8,27,10,71,5
92,16,31,80,48
21,36,55,42,62
58,81,13,74,93
15,3,42,69,16
15,78,7,51,37
93,17,86,34,78
24,40,1,31,31
80,95,78,69,0
29,86,20,87,85
82,87,54,81,87
0,34,39,60,16
61,64,41,36,67
70,73,6,91,82
12,0,84,73,69
69,93,1,63,57
53,55,24,7,65
8,99,92,26,46
